127.0.0.1 - - [20/Jan/2020:09:33:44 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:33:45 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:38 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:40 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:44:52 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:48:39 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:15:27 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:18 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:58 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:19:28 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:20:33 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:20:56 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:22:27 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:22:30 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:23:48 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:24:20 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:25:08 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:02 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:47 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:50 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:04 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:32 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:06 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:37:17 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:38:42 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:39:04 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:58:04 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:59:14 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:00:38 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:00:40 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:01:07 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:01:45 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:03 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:05 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:22 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:26 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:04:05 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:04:07 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:05:07 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:05:10 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:06:09 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:07:33 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
